date,state,temp,hot_temp,maxtemp,mintemp,humidity,gust_speed_m_s,wind_speed_m_s,min_rainfall_mm,max_rainfall_mm
03-01-2024,Assam,18.41,24.32,22.83,16.63,82,5.11,2.75,0,0
03-01-2024,Bihar,19.74,23.83,23.54,16.43,70,2.61,1.96,0,0
03-01-2024,Chhattisgarh,21.7,26.09,25.6,16.14,58.4,3.51,1.74,0,0
03-01-2024,Goa,24.49,28.5,26.89,19.19,77.5,10.5,6.88,0,0
03-01-2024,Gujarat,16.06,22.12,21.36,11.08,41.7,2.59,1.47,0,0
03-01-2024,Haryana,8.31,13.62,12.68,3.59,50.3,7.91,4.35,0,0
03-01-2024,Himachal Pradesh,10.98,14.59,13.87,8.47,55.3,10.02,5.47,0,0
03-01-2024,Jharkhand,19.13,22.31,22.11,16.64,69.9,5.85,3.63,0,0
03-01-2024,Karnataka,22.95,28.56,28.46,19.34,68.5,5.26,3.01,0,0
03-01-2024,Kerala,23.14,28.95,27.48,16.37,68.4,2.08,1.51,0,0
03-01-2024,Madhya Pradesh,23.89,28.25,27.47,19.87,41.2,4.81,3.24,0,0
03-01-2024,Maharashtra,20.78,24.49,23.62,17.85,58.5,11,6.21,0,0
03-01-2024,Manipur,20.23,21.82,21.24,16.74,71.6,3.95,2.1,0,0
03-01-2024,Meghalaya,19.67,24.82,24.69,14.59,76.9,8.27,4.38,6.4,27.97
03-01-2024,Mizoram,17.31,23.19,22.78,14.82,74.4,1.05,0.5,0,0
03-01-2024,Nagaland,21.16,24.76,23.17,18.38,69.5,8.11,4.86,0,0
03-01-2024,Odisha,16.87,19.65,18.26,13.68,64.8,3.82,2.9,0,0
03-01-2024,Punjab,10.54,17.05,16.62,5.53,52.5,1.82,1.18,0.31,8.25
03-01-2024,Rajasthan,19.44,24.85,23.43,18,42.8,7.29,3.96,0,0
03-01-2024,Sikkim,9.88,11.6,11.17,7.8,55.2,6.09,4.43,0,0
03-01-2024,Tamil Nadu,22.25,25.26,25.02,20.36,61.9,3.16,1.74,0,0
03-01-2024,Telangana,25.45,29.83,29.55,21.18,74.2,4.3,2.46,0,0
03-01-2024,Tripura,18.2,23.86,23.08,15.26,90.6,3.61,2.37,0,0
03-01-2024,Uttar Pradesh,24.1,29.53,28.36,18.64,50.6,4.66,2.19,0,0
03-01-2024,Uttarakhand,7.67,11.99,11.08,2.74,47,8.48,4.18,0,0
03-01-2024,West Bengal,20.51,25.77,25.01,15.82,55,6.25,4.27,0,0
03-01-2024,Andaman and Nicobar Islands,23.5,26.48,25.71,17.93,79.1,5.64,3.55,0,0
03-01-2024,Chandigarh,8.17,12.32,11.78,4.86,53.1,6.26,3.9,0,0
03-01-2024,Dadra and Nagar Haveli and Daman and Diu,23.12,28.07,26.4,19.78,69.2,11.24,5.36,0,0
03-01-2024,Delhi,5.44,9.53,9.04,-0.16,63.5,15.94,7.64,0,0
03-01-2024,Jammu and Kashmir,7.46,12.17,10.43,1.28,51.9,4.44,2.74,0,0
03-01-2024,Ladakh,7.61,10.68,9.9,4.76,56.4,9.41,6.29,0,0
03-01-2024,Lakshadweep,21.76,27.21,26.44,18.08,74,3.24,1.48,0,0
03-01-2024,Puducherry,24.25,28.92,27.95,19.51,84.7,3.52,2.35,0,0
04-01-2024,Andhra Pradesh,22.52,26.9,25.25,16.73,66.6,4.07,2,0,0
04-01-2024,Arunachal Pradesh,18.73,24.21,22.48,17.01,90.8,5.03,2.4,0,0
04-01-2024,Assam,17.19,22.23,21.03,12.69,92.1,5.2,3.18,2.32,8.74
04-01-2024,Bihar,20.55,23.05,22.78,19.33,72.2,6.64,4.12,0,0
04-01-2024,Chhattisgarh,17.76,22.8,21.81,13.4,65.6,8.86,4.26,0,0
04-01-2024,Goa,23.97,30.21,28.49,18.45,71.1,9.14,4.37,0,0
04-01-2024,Gujarat,18.46,22.05,20.96,15.49,42.5,7.41,4.22,0.23,1.51
04-01-2024,Haryana,5.5,11.99,9.89,0.53,53.2,7.73,3.89,0,0
04-01-2024,Himachal Pradesh,7.78,12.52,11.61,2.86,52.3,6.05,3.85,0,0
04-01-2024,Jharkhand,19.54,22.31,22.2,13.74,61.6,8.28,4.18,0.1,0.87
04-01-2024,Karnataka,24.79,30.14,29.59,23.34,62.6,6.41,3.18,0,0
04-01-2024,Kerala,25.49,30.68,30.57,21.83,69.3,8.7,4.64,0,0
04-01-2024,Madhya Pradesh,20.74,24.39,23.99,17.8,40.4,5.04,3.09,0,0
04-01-2024,Maharashtra,21.62,25.75,25.09,17.22,64.2,9.89,4.8,0,0
04-01-2024,Manipur,16.19,21.17,20.07,10.31,73.8,4.82,3.41,0,0
04-01-2024,Meghalaya,15.44,19.35,18.56,12.55,70.5,9.11,4.52,0,0
04-01-2024,Mizoram,17.39,21.24,20.86,13.65,94.8,4.07,2.61,0,0
04-01-2024,Nagaland,18.56,23.09,22.63,14.59,78.4,6.07,2.77,20.01,60.45
04-01-2024,Odisha,19.26,23.66,23.01,18.32,60.9,3.07,1.7,0,0
04-01-2024,Punjab,7.44,11.89,10.26,2.58,60.5,6.99,3.61,0,0
04-01-2024,Rajasthan,17.96,23.96,22.53,13,36.8,10.02,5.87,0,0
04-01-2024,Sikkim,8.3,14.29,13.89,4.01,52.1,6.37,2.92,0,0
04-01-2024,Tamil Nadu,24.24,29.15,28.36,21.1,82.9,9.95,6.61,0,0
04-01-2024,Telangana,24.26,28.97,27.8,20.08,63.9,6.32,3.04,0,0
04-01-2024,Tripura,14.88,17.87,17.8,8.52,71.2,6.62,3.9,0,0
04-01-2024,Uttar Pradesh,22.59,28.09,27.39,18.65,65.3,9.91,4.67,0,0
04-01-2024,Uttarakhand,5.11,10.81,10.38,-0.96,57.4,6.42,4.39,0,0
04-01-2024,West Bengal,19.77,24.36,23.24,14.01,62.8,7.94,4.89,0,0
04-01-2024,Andaman and Nicobar Islands,17.93,21.02,21,15.61,82,5.78,2.66,0,0
04-01-2024,Chandigarh,8.57,13.56,12.16,6.49,52,1.3,0.7,0,0
04-01-2024,Dadra and Nagar Haveli and Daman and Diu,23.11,26.8,26.2,19.64,80.5,7.65,4.19,0,0
04-01-2024,Delhi,8.72,12.67,11.91,5.02,54.8,6.42,4.81,0,0
04-01-2024,Jammu and Kashmir,8.04,13.27,12.42,4.16,43,8.8,5.15,0,0
04-01-2024,Ladakh,8.57,16.04,14.58,4.78,48.8,10,4.6,0,0
04-01-2024,Lakshadweep,21.58,25.01,24.33,14.71,71.3,10.89,5.07,0,0
04-01-2024,Puducherry,24.37,31.67,30.75,20.45,76.3,8.2,5.49,0,0
05-01-2024,Andhra Pradesh,25.53,31.97,30.99,23.25,65.5,7.05,3.38,0,0
05-01-2024,Arunachal Pradesh,18.38,24.47,23.82,13.7,85.8,11.43,5.64,0,0
05-01-2024,Assam,15.58,19.43,18.72,9.52,80.8,5.08,3.19,0,0
05-01-2024,Bihar,19.22,24.83,24.63,16.49,52.1,3.54,2.35,0.67,3.21
05-01-2024,Chhattisgarh,18.2,19.84,19,15.23,66.8,4.31,2.68,0,0
05-01-2024,Goa,22.96,30.39,28.19,21.69,79.4,9.19,4.72,0,0
05-01-2024,Gujarat,20.02,23.9,23.22,15.43,43.3,5.27,3.44,0,0
05-01-2024,Haryana,6.07,11.08,10.73,3,57.4,9.62,6.23,0,0
05-01-2024,Himachal Pradesh,9.17,12.73,12.51,5.41,58.3,9.53,6.82,0,0
05-01-2024,Jharkhand,19.59,25.22,24.76,15.7,65.4,8.01,4.35,0,0
05-01-2024,Karnataka,23.64,27.9,26.8,19.04,62.2,11.75,5.57,0,0
05-01-2024,Kerala,22.85,28.53,27.25,19.9,66.6,9.39,6.78,0,0
05-01-2024,Madhya Pradesh,17.49,24.77,23.66,15.35,35.6,3.97,2.86,0.67,3.37
05-01-2024,Maharashtra,21.4,24.98,24.23,19.46,75.5,3.46,2.05,0,0
05-01-2024,Manipur,20.74,25.49,24.92,14.3,78.8,3.69,2.45,0,0
05-01-2024,Meghalaya,15.96,20.44,19.5,13.12,70.7,7.29,4.1,0,0
05-01-2024,Mizoram,19.29,26.07,24.26,17.1,82.5,4.03,2.23,0,0
05-01-2024,Nagaland,17.69,22.74,21.83,15.07,71.5,6.54,3.3,0,0
05-01-2024,Odisha,17.56,22.51,22.37,12.65,63.1,10.05,5.68,0,0
05-01-2024,Punjab,8.04,12.65,11.77,4.5,54.1,6.36,4.77,0,0
05-01-2024,Rajasthan,20.71,23.56,23.26,18.7,43,2.79,1.51,0,0
05-01-2024,Sikkim,3.91,8.25,7.4,-1.35,54.4,10.73,5.15,0,0
05-01-2024,Tamil Nadu,22.87,26.26,25.57,17.38,65.5,7.2,4.47,0,0
05-01-2024,Telangana,21.77,27.36,26.58,17.06,74.9,8.75,6,0,0
05-01-2024,Tripura,18.79,21.45,21.01,15.25,78.9,7.81,3.6,0,0
05-01-2024,Uttar Pradesh,21.54,25.35,25.12,20.5,59.1,2.46,1.32,0,0
05-01-2024,Uttarakhand,8.86,12.99,12.1,2.62,53,4.61,2.4,0,0
05-01-2024,West Bengal,18.64,23.4,22.34,14.64,72.1,9.24,5.21,0,0
05-01-2024,Andaman and Nicobar Islands,20.32,22.28,22.18,16.66,64.2,8.92,4.47,7.18,25.58
05-01-2024,Chandigarh,9.33,12.01,11.88,5.17,49,6.18,3.44,0,0
05-01-2024,Dadra and Nagar Haveli and Daman and Diu,21.64,25.38,25.09,15.89,54.2,4.47,2.7,0,0
05-01-2024,Delhi,8.29,12.17,12.04,2.58,45.4,5.69,2.77,1.16,8.17
05-01-2024,Jammu and Kashmir,9.12,14.71,12.98,3.16,55.2,3.08,2.14,0,0
05-01-2024,Ladakh,11.4,15.98,15.07,7.95,46.9,2.83,1.75,0,0
05-01-2024,Lakshadweep,21.51,26.88,25.65,15.73,76,3.98,2.14,0,0
05-01-2024,Puducherry,22.81,27.14,26.01,16.82,72.7,9.9,7.4,0,0
06-01-2024,Andhra Pradesh,22.15,27.72,26.76,18.06,79.2,8.96,4.41,0,0
06-01-2024,Arunachal Pradesh,17.04,19.91,19.53,14.6,92.3,3.25,1.51,4.9,18.07
06-01-2024,Assam,17.19,22.36,21.06,12.8,75.1,11.12,5.68,0,0
06-01-2024,Bihar,18.83,22.07,21.08,14.07,65.2,6.51,3.33,0,0
06-01-2024,Chhattisgarh,20.31,24.94,23.84,18.55,64.3,13.43,7.64,0,0
06-01-2024,Goa,24.86,31.53,30.53,19.92,80.4,4.08,2.38,9.06,51.72
06-01-2024,Gujarat,18.47,22.1,20.95,15.34,50,7.81,4.21,0,0
06-01-2024,Haryana,9.77,13.35,12.54,5.97,50.3,10.09,4.67,0,0
06-01-2024,Himachal Pradesh,6.02,9.57,8.99,0.94,65.4,5.83,2.78,0,0
06-01-2024,Jharkhand,16.52,19.47,17.91,14.81,61.7,15.22,8.1,0.53,2.87
06-01-2024,Karnataka,26.24,32.19,30.89,23.18,70,8.03,5.86,0.34,1.51
06-01-2024,Kerala,23.47,29.42,28.74,21.18,65.7,0.69,0.5,0,0
06-01-2024,Madhya Pradesh,21.57,27.74,25.83,19.11,47.3,6.4,4.55,0,0
06-01-2024,Maharashtra,19.79,26.32,24.6,12.97,57.1,2.38,1.48,0.25,0.7
06-01-2024,Manipur,14.28,18.67,17.98,8.73,77.8,8.54,4.22,0,0
06-01-2024,Meghalaya,15.69,19.7,19.13,11.38,62.8,6.28,3.21,0,0
06-01-2024,Mizoram,18.33,20.97,20.51,13.74,82.1,5.07,3.72,3.59,9.07
06-01-2024,Nagaland,16.09,22.38,20.68,13.29,78.4,4.6,3.46,0.68,14.69
06-01-2024,Odisha,15.9,19.03,18.17,11.53,69.2,4.95,3.67,0,0
06-01-2024,Punjab,9.21,12.75,11.61,6.87,47,17.06,7.85,0,0
06-01-2024,Rajasthan,17.39,20.99,20.51,14.03,43.8,4.86,2.69,0,0
06-01-2024,Sikkim,7.08,12.65,10.77,2.52,54.5,3.49,2.01,0,0
06-01-2024,Tamil Nadu,22.5,28.59,28.41,15.85,65.7,6.4,3.63,0,0
06-01-2024,Telangana,22.14,26.73,25.57,19.09,65.7,4.12,2.58,0,0
06-01-2024,Tripura,15.09,19.81,18.7,11.63,81.9,6.87,3.44,4.61,24.94
06-01-2024,Uttar Pradesh,19.14,23.54,23,16.27,66.9,5.77,3.7,0,0
06-01-2024,Uttarakhand,5.03,11.31,10.78,-0.59,62.7,5.22,3.62,0,0
06-01-2024,West Bengal,20.61,23.94,23.34,15.07,62.6,3.02,1.78,0,0
06-01-2024,Andaman and Nicobar Islands,23.69,27.97,27.22,17.57,77.7,3.32,1.59,0,0
06-01-2024,Chandigarh,8.39,14.46,13.31,0.5,57,5.65,3.85,0,0
06-01-2024,Dadra and Nagar Haveli and Daman and Diu,23.06,26.96,26.76,17.08,74.8,10.06,5.87,0,0
06-01-2024,Delhi,7.4,12.66,12.46,3.44,52,6.97,5.01,0,0
06-01-2024,Jammu and Kashmir,8.6,13.4,11.63,5.98,53.1,9.2,5.69,0,0
06-01-2024,Ladakh,10.35,14.6,14.34,6.39,56.9,2.64,1.38,0,0
06-01-2024,Lakshadweep,25.45,30.44,29.29,21.83,67.2,9.76,5.07,0,0
06-01-2024,Puducherry,20.89,24.29,23.19,17.9,71.1,8.3,4.13,0,0
07-01-2024,Andhra Pradesh,24.11,29.3,28.1,20.47,81.4,5.59,3.26,0,0
07-01-2024,Arunachal Pradesh,15.84,17.22,16.74,10.57,79.5,6.36,4.1,0,0
07-01-2024,Assam,17.94,23.3,22.06,14.33,83.7,3.72,1.82,0,0
07-01-2024,Bihar,20.92,25.53,24.87,14.17,62.9,5.44,3.47,0,0
07-01-2024,Chhattisgarh,19.8,23.4,22.03,17.4,70.3,6.67,3.31,0.94,3.59
07-01-2024,Goa,22.55,26.18,25.17,18.5,82,8.14,3.98,0,0
07-01-2024,Gujarat,19.87,24.44,24.15,11.84,35.9,11.33,6.15,0,0
07-01-2024,Haryana,6.82,14.38,12.85,4.49,65.5,2.95,1.67,0,0
07-01-2024,Himachal Pradesh,8.86,13.11,12.06,8.47,55.9,10.82,6.16,0,0
07-01-2024,Jharkhand,20.07,23.98,23.44,16.35,51.8,4.58,3.1,0,0
07-01-2024,Karnataka,19.51,22.61,21.93,16.51,70,9.89,5.45,0,0
07-01-2024,Kerala,22.19,26.47,26.14,18.46,68.8,3.07,1.9,0,0
07-01-2024,Madhya Pradesh,19.2,23.23,22.67,13.58,36.1,1.7,1.02,0,0
07-01-2024,Maharashtra,17,22.78,21.42,10.7,56.7,7.21,3.76,0,0
07-01-2024,Manipur,16.49,19.26,18.99,15.81,78.2,8.51,6.24,5.75,20.4
07-01-2024,Meghalaya,15.64,21.64,20.83,11.78,84.2,7.26,3.92,0,0
07-01-2024,Mizoram,16.5,21.3,20.43,14.21,79.8,4.89,3.13,0,0
07-01-2024,Nagaland,16.61,20.41,20.22,12.37,87.6,3.66,1.94,0,0
07-01-2024,Odisha,17.81,24.79,23.44,15.6,71,3.9,2.29,0,0
07-01-2024,Punjab,7.97,13.07,11.79,4.18,59.8,0.82,0.5,0,0
07-01-2024,Rajasthan,20.57,25.98,25.42,18.21,33.4,6.54,3.11,0,0
07-01-2024,Sikkim,9.81,15.66,14.99,6.66,44.9,3.91,2.05,0,0
07-01-2024,Tamil Nadu,21.01,24.76,23.79,17.05,65.1,7.41,4.26,0.73,2
07-01-2024,Telangana,21.25,24.9,24.32,19.96,69.4,8.21,3.91,0,0
07-01-2024,Tripura,14.83,16.97,16.54,10.03,81.1,2.46,1.38,0,0
07-01-2024,Uttar Pradesh,19.95,25.2,24.92,17.54,52.4,4.22,1.94,0,0
07-01-2024,Uttarakhand,9.19,10.63,10.5,5.44,53.8,12.8,7.7,0,0
07-01-2024,West Bengal,19.5,25.55,24.07,12.55,62.3,1.61,1.2,0,0
07-01-2024,Andaman and Nicobar Islands,20.11,25.76,23.9,15.71,72.8,8.07,4,0,0
07-01-2024,Chandigarh,7.23,10.36,9.32,3.25,56.5,8.82,5.38,0,0
07-01-2024,Dadra and Nagar Haveli and Daman and Diu,24.75,28.03,27.38,20.39,84.3,6.27,3.01,0,0
07-01-2024,Delhi,9.6,14.39,12.7,4.98,62,6.59,3.13,0,0
07-01-2024,Jammu and Kashmir,7.21,12.83,11.92,-0.29,66.7,5.98,3.07,0,0
07-01-2024,Ladakh,6.72,9.8,9.32,1,49.6,4.9,2.27,4.48,24.74
07-01-2024,Lakshadweep,24.53,29.71,28.65,21.49,74.8,9.19,4.86,0,0
07-01-2024,Puducherry,23.86,28.92,28.64,19.9,69,3.6,2.16,0.05,1.71
08-01-2024,Andhra Pradesh,23.2,28.1,27.43,19.9,78.7,6.79,3.51,0.12,0.72
08-01-2024,Arunachal Pradesh,16.12,19.18,18.49,10.88,78.4,0.75,0.5,0,0
08-01-2024,Assam,17.61,21.46,21.45,11.57,61.9,7,3.83,0,0
08-01-2024,Bihar,19.24,22.37,22.15,14.03,67.9,7.93,4.41,0,0
08-01-2024,Chhattisgarh,20.93,24.08,23.82,16.97,55.8,5.16,2.76,0.47,2.49
08-01-2024,Goa,21.66,25.36,25.18,16.23,69.8,7.69,5.53,0,0
08-01-2024,Gujarat,19.89,23.21,22.81,14.35,39,11.02,5.2,0,0
08-01-2024,Haryana,7.18,13.06,13.06,0.82,58.1,3.86,2.03,0,0
08-01-2024,Himachal Pradesh,5.4,10.8,10.17,1.09,52.4,6.09,3.75,0,0
08-01-2024,Jharkhand,13.77,17.96,17.29,11.93,56.6,1.28,0.95,0,0
08-01-2024,Karnataka,25.37,29.58,28.49,21.97,67.8,15.25,7.29,0,0
08-01-2024,Kerala,24.9,30.87,30.32,22.01,77.6,7.85,4.96,0,0
08-01-2024,Madhya Pradesh,21.37,24.66,23.95,17.08,34.7,1.29,0.96,0,0
08-01-2024,Maharashtra,17.08,20.85,20.73,15.37,58.7,0.83,0.5,0,0
08-01-2024,Manipur,17.37,21.66,20.88,12.56,92.1,6.15,3.89,0,0
08-01-2024,Meghalaya,17.72,24,23.08,14.08,85.9,3.82,2.16,0,0
08-01-2024,Mizoram,19.29,22.37,21.16,14.28,66.4,2.85,1.81,3.67,14.02
08-01-2024,Nagaland,16.07,19.64,19.6,11.72,76.3,5.25,2.82,0,0
08-01-2024,Odisha,18.29,21.56,20.46,13.92,71.8,9.73,6.34,0,0
08-01-2024,Punjab,5.47,10.08,8.69,0.77,54.5,4.19,2.92,0.48,2.16
08-01-2024,Rajasthan,18.85,23.2,22.4,13.98,30.2,3.94,2.55,0,0
08-01-2024,Sikkim,7.7,14.29,13.82,6.54,54.5,4.67,3.14,1.97,7.31
08-01-2024,Tamil Nadu,20.93,24.07,23.91,16.05,72.8,9.76,7.14,0,0
08-01-2024,Telangana,20.69,25.12,24.71,16.67,72.9,10.27,6.75,0,0
08-01-2024,Tripura,17.16,21.2,19.51,12.45,82.1,3.84,2.94,0,0
08-01-2024,Uttar Pradesh,20.22,23.55,22.22,15.31,57.3,4.47,2.65,0.47,1.39
08-01-2024,Uttarakhand,7.77,10.37,10.36,6.12,45.4,8.51,3.95,0,0
08-01-2024,West Bengal,19.13,25.11,24.06,16.02,55.5,9.07,5.98,0.28,7.93
08-01-2024,Andaman and Nicobar Islands,20.55,24.42,23.56,15.52,78.5,12.46,7.06,0,0
08-01-2024,Chandigarh,4.48,7.59,6.9,2.48,60.5,5.72,3.27,0,0
08-01-2024,Dadra and Nagar Haveli and Daman and Diu,26.23,29.55,28.22,21.68,65.5,1.01,0.5,0,0
08-01-2024,Delhi,7.65,13.84,12.64,5.26,62.2,0.84,0.5,0.23,0.5
08-01-2024,Jammu and Kashmir,7.87,12.56,12.2,7.71,48.9,2.14,1.65,0,0
08-01-2024,Ladakh,5.95,11.56,10.91,0.72,61.8,3.08,1.59,0,0
08-01-2024,Lakshadweep,20.99,25.61,23.94,18.69,59.7,4.34,2.42,0,0
08-01-2024,Puducherry,23.56,28.78,27.64,20.41,70.6,1.24,0.64,0,0
09-01-2024,Andhra Pradesh,24.5,28.62,28.04,21.93,70.9,9.35,5.45,0,0
09-01-2024,Arunachal Pradesh,19.21,24.56,24.01,13.82,84.1,4.08,2.54,0,0
09-01-2024,Assam,18.39,24.34,23.16,12.98,80.5,0.72,0.5,0,0
09-01-2024,Bihar,18.62,22.03,21.27,12.46,67.7,9.96,4.89,0,0
09-01-2024,Chhattisgarh,18.3,24.64,23.98,14.24,61.6,6.53,3.94,0,0
09-01-2024,Goa,25.22,28.41,27.38,22.74,79.9,4.34,2.33,0,0
09-01-2024,Gujarat,19.84,23.62,23.42,16.8,33.4,9.2,5.75,0,0
09-01-2024,Haryana,4.41,7.47,7.09,0.64,60.6,10.82,6.76,0.48,1.65
09-01-2024,Himachal Pradesh,5.95,11.38,10.8,-0.22,47,4.27,2.76,0,0
